match_id,hero,role,lane,midas_team,buy_sec,ref_bucket,nw_diff_raw,midas_nw_adv,total_nw,nw_adv_pct_total,nw_adv_pct_buyer,band,band_label,expected_win,actual_win,delta
8716595714,ogre_magi,Support,Safelane,dire,1024,990,-6099,6099,51611,11.82,21.14,17,85-90%,0.8465,1,0.1535
8716595810,ogre_magi,Support,Safelane,dire,1036,990,3162,-3162,53666,-5.89,-12.52,5,25-30%,0.347,0,-0.347
8716595956,lion,Support,Safelane,radiant,740,690,2860,2860,32968,8.68,15.97,16,80-85%,0.7345,0,-0.7345
8716595972,ogre_magi,Support,Offlane,dire,867,810,-413,413,45301,0.91,1.81,10,50-55%,0.5392,0,-0.5392
8716596017,warlock,Support,Offlane,radiant,796,750,-923,-923,38887,-2.37,-4.86,7,35-40%,0.4268,1,0.5732
8716596060,tusk,Support,Safelane,radiant,1012,960,-6236,-6236,61110,-10.2,-22.73,1,5-10%,0.125,0,-0.125
8716596097,ogre_magi,Support,Offlane,dire,1057,1020,-7782,7782,61466,12.66,22.48,18,90-95%,0.9006,1,0.0994
8716596136,invoker,Core,Mid,radiant,593,540,-257,-257,30621,-0.84,-1.69,8,40-45%,0.4852,0,-0.4852
8716596139,ogre_magi,Support,Offlane,radiant,1238,1200,-1601,-1601,74081,-2.16,-4.42,7,35-40%,0.4169,0,-0.4169
8716596198,juggernaut,Core,Safelane,dire,1088,1050,993,-993,61477,-1.62,-3.28,8,40-45%,0.4619,0,-0.4619
8716596223,slark,Core,Safelane,radiant,1203,1170,-15508,-15508,71802,-21.6,-55.1,0,0-5%,0.039,0,-0.039
8716596261,enigma,Core,Offlane,radiant,523,480,676,676,22370,3.02,5.87,12,60-65%,0.5652,0,-0.5652
8716596354,winter_wyvern,Support,Offlane,radiant,838,780,3348,3348,39624,8.45,15.58,16,80-85%,0.7446,1,0.2554
8716596387,invoker,Core,Mid,radiant,462,420,-100,-100,22780,-0.44,-0.88,8,40-45%,0.4745,0,-0.4745
8716596575,ogre_magi,Core,Offlane,radiant,650,600,-215,-215,27255,-0.79,-1.59,8,40-45%,0.469,0,-0.469
8716596691,ogre_magi,Core,Offlane,dire,784,750,3429,-3429,38011,-9.02,-19.83,2,10-15%,0.2469,0,-0.2469
8716596695,ogre_magi,Core,Offlane,dire,792,750,-1547,1547,39359,3.93,7.56,12,60-65%,0.6097,1,0.3903
8716596703,ogre_magi,Support,Offlane,radiant,1039,990,1809,1809,52545,3.44,6.66,12,60-65%,0.6157,1,0.3843
8716596784,enchantress,Support,Offlane,dire,894,840,-10681,10681,43367,24.63,39.52,19,95-100%,0.9332,1,0.0668
8716596798,abaddon,Support,Safelane,dire,1289,1230,6617,-6617,76357,-8.67,-18.98,3,15-20%,0.2105,0,-0.2105
8716596803,ogre_magi,Support,Offlane,dire,837,780,-2819,2819,41259,6.83,12.79,15,75-80%,0.7043,1,0.2957
8716596843,ogre_magi,Support,Offlane,dire,1903,1860,-27511,27511,116535,23.61,38.2,19,95-100%,0.9931,1,0.0069
8716596860,warlock,Support,Offlane,radiant,1045,990,7406,7406,49144,15.07,26.19,18,90-95%,0.9003,1,0.0997
8716596913,invoker,Core,Mid,dire,636,600,-1467,1467,27701,5.3,10.06,14,70-75%,0.6476,1,0.3524
8716596967,ogre_magi,Core,Safelane,radiant,854,810,-2526,-2526,40102,-6.3,-13.44,4,20-25%,0.3141,0,-0.3141
8716597026,furion,Support,Offlane,radiant,483,450,3396,3396,25262,13.44,23.7,19,95-100%,0.8461,0,-0.8461
8716597057,ogre_magi,Core,Mid,radiant,406,360,1463,1463,20437,7.16,13.36,17,85-90%,0.6995,0,-0.6995
8716597087,techies,Support,Offlane,dire,1160,1110,1989,-1989,61035,-3.26,-6.74,6,30-35%,0.361,1,0.639
8716597136,invoker,Core,Mid,dire,584,540,717,-717,26793,-2.68,-5.5,6,30-35%,0.408,0,-0.408
8716597211,ogre_magi,Support,Offlane,radiant,1510,1470,-16805,-16805,92561,-18.16,-44.37,0,0-5%,0.0154,0,-0.0154
8716597232,ogre_magi,Support,Safelane,dire,1140,1110,-9056,9056,69396,13.05,23.09,18,90-95%,0.9211,1,0.0789
8716597302,ogre_magi,Core,Offlane,dire,1169,1110,4210,-4210,56958,-7.39,-15.96,4,20-25%,0.2878,0,-0.2878
8716597305,ogre_magi,Core,Offlane,radiant,726,690,3373,3373,34893,9.67,17.63,17,85-90%,0.7772,0,-0.7772
8716597341,ogre_magi,Support,Safelane,dire,1534,1500,3916,-3916,79656,-4.92,-10.34,6,30-35%,0.3277,1,0.6723
8716597376,luna,Support,Safelane,radiant,605,570,-835,-835,29909,-2.79,-5.74,6,30-35%,0.3988,1,0.6012
