match_id,hero,role,lane,role_cat,midas_team,buy_sec,ref_bucket,personal_nw_adv,band,band_label,expected_win,actual_win,delta
8731596306,ogre_magi,Support,Safelane,support,radiant,963,930,2362,19,Very Ahead,0.707901,1,0.292099
8731596332,invoker,Core,Mid,mid,dire,647,600,1085,16,Very Ahead,0.617918,0,-0.617918
8731596370,slark,Core,Safelane,carry,radiant,641,600,2348,19,Very Ahead,0.79776,1,0.20224
8731596372,ogre_magi,Support,Offlane,support,radiant,916,870,846,16,Very Ahead,0.617288,0,-0.617288
8731596413,ogre_magi,Support,Safelane,support,dire,1204,1170,-2088,1,Very Behind,0.286931,0,-0.286931
8731596414,furion,Support,Safelane,support,dire,662,630,-574,3,Very Behind,0.42249,0,-0.42249
8731596451,invoker,Core,Mid,mid,radiant,545,510,-326,7,Behind,0.4607,0,-0.4607
8731596485,obsidian_destroyer,Core,Mid,mid,dire,760,720,272,11,Even,0.512897,1,0.487103
8731596506,ogre_magi,Support,Offlane,support,dire,1107,1050,1197,16,Very Ahead,0.632646,0,-0.632646
8731596511,ogre_magi,Core,Offlane,offlane,dire,481,450,601,16,Very Ahead,0.610892,0,-0.610892
8731596528,enchantress,Support,Offlane,support,radiant,1523,1470,-300,8,Even,0.454735,0,-0.454735
8731596531,techies,Core,Mid,mid,radiant,619,570,874,15,Ahead,0.576405,1,0.423595
8731596559,ogre_magi,Core,Offlane,offlane,dire,720,690,-1237,2,Very Behind,0.31487,0,-0.31487
8731596565,ogre_magi,Core,Offlane,offlane,dire,592,540,-19,9,Even,0.496238,0,-0.496238
8731596603,ogre_magi,Support,Offlane,support,dire,1149,1110,-1246,3,Very Behind,0.357859,1,0.642141
8731596669,ogre_magi,Support,Offlane,support,radiant,937,900,76,10,Even,0.506922,1,0.493078
8731596711,warlock,Support,Offlane,support,radiant,863,810,1573,19,Very Ahead,0.687999,1,0.312001
8731596714,ogre_magi,Support,Safelane,support,radiant,1570,1530,-340,8,Even,0.448785,0,-0.448785
8731596726,ogre_magi,Support,Offlane,support,radiant,1129,1080,1081,15,Ahead,0.615894,1,0.384106
